"","id","s_g3","r_g3","m_g3","s_g5","r_g5","m_g5","s_g8","r_g8","m_g8","st_g3","rt_g3","mt_g3","st_g5","rt_g5","mt_g5","st_g8","rt_g8","mt_g8"
"206",2105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2115,66.34,159.68,118.03,74.79,171.94,132.05,NA,NA,NA,0.343,1.621,1.62,0.996,1.592,1.523,NA,NA,NA
"208",2123,53.43,148.56,114.22,NA,NA,NA,NA,NA,NA,-0.17,1.54,1.564,NA,NA,NA,NA,NA,NA
"209",2128,58.63,147.5,121.88,NA,NA,NA,NA,NA,NA,0.031,1.608,1.682,NA,NA,NA,NA,NA,NA
"210",2130,60.83,146.81,89.66,69.33,166.39,104.04,86.88,186.09,138.26,0.122,1.585,1.183,0.649,1.45,1.151,0.949,1.472,1.331
"211",2142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",2158,53.11,153.57,104.18,64.99,166.61,120.26,93.02,185.48,145.11,-0.19,1.631,1.413,0.41,1.517,1.303,1.295,1.461,1.456
"213",2163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",2187,44.85,152.18,107.86,67.24,149.07,133.22,NA,NA,NA,-0.511,1.565,1.504,0.477,1.33,1.557,NA,NA,NA
"215",2190,52.89,166.1,120.41,64.38,192.54,145.27,NA,NA,NA,-0.196,1.841,1.743,0.4,1.932,1.745,NA,NA,NA
"216",2199,54.98,137.88,116.69,NA,NA,NA,NA,NA,NA,-0.133,1.381,1.616,NA,NA,NA,NA,NA,NA
"217",2205,61.99,174.76,102.58,69.07,169.06,116.65,81.47,192.89,146.47,0.142,1.91,1.373,0.61,1.603,1.19,0.685,1.604,1.482
"218",2213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",2217,36.15,119.37,89.92,NA,NA,NA,NA,NA,NA,-0.892,1.194,1.191,NA,NA,NA,NA,NA,NA
"220",2233,19.66,65.23,57.22,36.76,71.39,72.35,NA,NA,NA,-2.119,0.291,0.473,-1.081,0.22,0.571,NA,NA,NA
"221",2240,23.61,NA,NA,NA,NA,NA,NA,NA,NA,-1.687,NA,NA,NA,NA,NA,NA,NA,NA
"222",2243,30.73,79.63,57.29,36.34,118.33,75.49,55.09,150.06,113.25,-1.199,0.661,0.475,-1.105,0.89,0.644,-0.383,1.027,0.931
"223",2255,75.43,149.87,121.03,92.21,176.28,152.84,103.7,202.41,143.46,0.744,1.598,1.723,2.03,1.618,1.939,2.21,1.903,1.425
"224",2274,64.4,151.05,115.44,82.43,182.75,152.14,101.29,201.08,167.77,0.226,1.671,1.585,1.485,1.731,1.875,1.936,1.846,2.1
"225",2277,56.37,125.96,91.03,69.94,147.21,131.92,NA,NA,NA,-0.072,1.279,1.223,0.682,1.222,1.545,NA,NA,NA
"226",2280,52.15,113.06,99.99,NA,NA,NA,NA,NA,NA,-0.226,1.166,1.319,NA,NA,NA,NA,NA,NA
"227",2287,56.7,126.37,87.97,NA,NA,NA,NA,NA,NA,-0.072,1.265,1.13,NA,NA,NA,NA,NA,NA
"228",2317,37.81,89.02,90.92,45.41,139.09,105.09,82.11,181.69,140.63,-0.82,0.846,1.219,-0.589,1.113,1.104,0.714,1.402,1.373
"229",2323,44.81,144.42,88.97,61.18,156.91,105.41,87.47,181.16,132.35,-0.519,1.524,1.163,0.218,1.384,1.006,0.979,1.394,1.229
"230",2336,37.06,88.25,75.18,NA,NA,NA,NA,NA,NA,-0.861,0.789,0.9,NA,NA,NA,NA,NA,NA
